State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Virginia,2/22/20,"2,079",2/15/20,"22,493","3,731,069",0.6
Virginia,2/29/20,"3,267",2/22/20,"22,203","3,731,069",0.6
Virginia,3/7/20,"2,527",2/29/20,"22,714","3,731,069",0.61
Virginia,3/14/20,"2,706",3/7/20,"21,336","3,731,069",0.57
Virginia,3/21/20,"46,277",3/14/20,"21,628","3,731,069",0.58
Virginia,3/28/20,"112,497",3/21/20,"41,827","3,731,069",1.12
Virginia,4/4/20,"147,369",3/28/20,"133,184","3,731,069",3.57
Washington,1/4/20,"10,024",12/28/19,"70,363","3,317,884",2.12
Washington,1/11/20,"9,069",1/4/20,"70,214","3,333,838",2.11
Washington,1/18/20,"9,079",1/11/20,"65,903","3,333,838",1.98
Washington,1/25/20,"8,072",1/18/20,"67,705","3,333,838",2.03
Washington,2/1/20,"6,619",1/25/20,"65,260","3,333,838",1.96
Washington,2/8/20,"7,161",2/1/20,"64,144","3,333,838",1.92
Washington,2/15/20,"6,311",2/8/20,"61,819","3,333,838",1.85
Washington,2/22/20,"5,585",2/15/20,"59,819","3,333,838",1.79
Washington,2/29/20,"5,770",2/22/20,"58,586","3,333,838",1.76
Washington,3/7/20,"6,616",2/29/20,"56,513","3,333,838",1.7
Washington,3/14/20,"14,240",3/7/20,"55,588","3,333,838",1.67
Washington,3/21/20,"129,909",3/14/20,"62,623","3,333,838",1.88
Washington,3/28/20,"182,849",3/21/20,"158,025","3,333,838",4.74
Washington,4/4/20,"171,252",3/28/20,"309,411","3,333,838",9.28
West Virginia,1/4/20,"1,564",12/28/19,"15,887","670,192",2.37
West Virginia,1/11/20,"2,638",1/4/20,"18,026","670,051",2.69
West Virginia,1/18/20,"1,895",1/11/20,"17,681","670,051",2.64
West Virginia,1/25/20,"1,290",1/18/20,"16,745","670,051",2.5
West Virginia,2/1/20,"1,364",1/25/20,"16,905","670,051",2.52
West Virginia,2/8/20,"1,206",2/1/20,"16,588","670,051",2.48
West Virginia,2/15/20,"1,172",2/8/20,"16,856","670,051",2.52
West Virginia,2/22/20,"1,207",2/15/20,"17,355","670,051",2.59
West Virginia,2/29/20,"1,108",2/22/20,"16,797","670,051",2.51
West Virginia,3/7/20,"1,033",2/29/20,"16,110","670,051",2.4
West Virginia,3/14/20,865,3/7/20,"15,394","670,051",2.3
West Virginia,3/21/20,"3,536",3/14/20,"14,154","670,051",2.11
West Virginia,3/28/20,"14,523",3/21/20,"21,145","670,051",3.16
West Virginia,4/4/20,"14,494",3/28/20,"36,690","670,051",5.48
Wisconsin,1/4/20,"12,854",12/28/19,"49,605","2,848,173",1.74
Wisconsin,1/11/20,"8,255",1/4/20,"53,305","2,851,929",1.87
Wisconsin,1/18/20,"6,388",1/11/20,"44,776","2,851,929",1.57
Wisconsin,1/25/20,"6,134",1/18/20,"44,077","2,851,929",1.55
Wisconsin,2/1/20,"6,280",1/25/20,"44,425","2,851,929",1.56
Wisconsin,2/8/20,"6,579",2/1/20,"44,477","2,851,929",1.56
Wisconsin,2/15/20,"5,808",2/8/20,"44,163","2,851,929",1.55
Wisconsin,2/22/20,"6,098",2/15/20,"43,996","2,851,929",1.54
Wisconsin,2/29/20,"5,658",2/22/20,"43,574","2,851,929",1.53
Wisconsin,3/7/20,"5,052",2/29/20,"42,337","2,851,929",1.48
Wisconsin,3/14/20,"5,190",3/7/20,"40,738","2,851,929",1.43
Wisconsin,3/21/20,"51,031",3/14/20,"43,607","2,851,929",1.53
Wisconsin,3/28/20,"110,934",3/21/20,"99,574","2,851,929",3.49
Wisconsin,4/4/20,"104,823",3/28/20,"208,387","2,851,929",7.31
Wyoming,1/4/20,662,12/28/19,"3,219","267,362",1.2
Wyoming,1/11/20,829,1/4/20,"3,302","268,518",1.23
Wyoming,1/18/20,636,1/11/20,"3,301","268,518",1.23
Wyoming,1/25/20,531,1/18/20,"3,354","268,518",1.25
Wyoming,2/1/20,529,1/25/20,"3,475","268,518",1.29
Wyoming,2/8/20,589,2/1/20,"3,507","268,518",1.31
Wyoming,2/15/20,598,2/8/20,"3,699","268,518",1.38
Wyoming,2/22/20,389,2/15/20,"3,611","268,518",1.34
Wyoming,2/29/20,471,2/22/20,"3,543","268,518",1.32
Wyoming,3/7/20,534,2/29/20,"3,508","268,518",1.31
Wyoming,3/14/20,517,3/7/20,"3,375","268,518",1.26
Wyoming,3/21/20,"3,653",3/14/20,"3,197","268,518",1.19
Wyoming,3/28/20,"6,396",3/21/20,"4,519","268,518",1.68
Wyoming,4/4/20,"6,543",3/28/20,"7,790","268,518",2.9
